species	segmented
Sanxia water strider virus 17	no
Sanxia water strider virus 19	no
Sanxia water strider virus 20	no
Sanxia water strider virus 21	no
Sanxia water strider virus 7	no
Sanxia water strider virus 8	no
Sanxia water strider virus 9	no
Shahe arthropod virus 1	no
Shahe endorna-like virus 1	no
Shahe hepe-like virus 1	no
Shahe hepe-like virus 2	no
Shahe heteroptera virus 1	no
Shahe heteroptera virus 2	no
Shahe heteroptera virus 4	no
Shahe isopoda virus 1	no
Shahe isopoda virus 2	no
Shahe isopoda virus 3	no
Shahe isopoda virus 5	no
Shahe narna-like virus 1	no
Shahe narna-like virus 2	no
Shahe narna-like virus 3	no
Shahe narna-like virus 5	no
Shahe narna-like virus 7	no
Shahe picorna-like virus 1	no
Shahe picorna-like virus 10	no
Shahe picorna-like virus 11	no
Shahe picorna-like virus 12	no
Shahe picorna-like virus 13	no
Shahe picorna-like virus 14	no
Shahe picorna-like virus 2	no
Shahe picorna-like virus 3	no
Shahe picorna-like virus 4	no
Shahe picorna-like virus 5	no
Shahe picorna-like virus 6	no
Shahe picorna-like virus 7	no
Shahe picorna-like virus 8	no
Shahe picorna-like virus 9	no
Shahe sobemo-like virus 1	no
Shahe tombus-like virus 1	no
Shahe tombus-like virus 2	no
Shayang virga-like virus 1	no
Shuangao alphatetra-like virus 1	no
Shuangao insect virus 10	no
Shuangao insect virus 11	no
Shuangao insect virus 12	no
Shuangao insect virus 8	no
Shuangao insect virus 9	no
Shuangao sobemo-like virus 1	no
Shuangao sobemo-like virus 2	no
Shuangao sobemo-like virus 3	no
Shuangao toti-like virus	no
Wenling crustacean virus 1	no
Wenling crustacean virus 2	no
Wenling crustacean virus 3	no
Wenling crustacean virus 4	no
Wenling crustacean virus 5	no
Wenling crustacean virus 6	no
Wenling hepe-like virus 1	no
Wenling hepe-like virus 2	no
Wenling hepe-like virus 3	no
Wenling hepe-like virus 4	no
Wenling narna-like virus 1	no
Wenling narna-like virus 2	no
Wenling narna-like virus 3	no
Wenling narna-like virus 4	no
Wenling narna-like virus 5	no
Wenling narna-like virus 7	no
Wenling narna-like virus 9	no
Wenling picorna-like virus 1	no
Wenling picorna-like virus 2	no
Wenling picorna-like virus 3	no
Wenling picorna-like virus 4	no
Wenling picorna-like virus 5	no
Wenling picorna-like virus 6	no
Wenling picorna-like virus 7	no
Wenling picorna-like virus 8	no
Wenling picorna-like virus 9	no
Wenling sobemo-like virus 1	no
Wenling sobemo-like virus 2	no
Wenling toga-like virus	no
Wenling tombus-like virus 1	no
Wenling tombus-like virus 2	no
Wenling tombus-like virus 3	no
Wenling tombus-like virus 4	no
Wenling tombus-like virus 5	no
Wenling toti-like virus 2	no
Wenling zhaovirus-like virus 1	no
Wenzhou bivalvia virus 1	no
Wenzhou bivalvia virus 2	no
Wenzhou bivalvia virus 3	no
Wenzhou channeled applesnail virus 1	no
Wenzhou channeled applesnail virus 2	no
Wenzhou channeled applesnail virus 3	no
Wenzhou crab virus 4	no
Wenzhou crab virus 5	no
Wenzhou gastropodes virus 1	no
Wenzhou gastropodes virus 2	no
Wenzhou hepe-like virus 2	no
Wenzhou hepe-like virus 1	no
Wenzhou narna-like virus 2	no
Wenzhou narna-like virus 3	no
Wenzhou narna-like virus 4	no
Wenzhou narna-like virus 5	no
Wenzhou narna-like virus 7	no
Wenzhou narna-like virus 8	no
Wenzhou narna-like virus 9	no
Wenzhou picorna-like virus 1	no
Wenzhou picorna-like virus 10	no
Wenzhou picorna-like virus 11	no
Wenzhou picorna-like virus 12	no
Wenzhou picorna-like virus 13	no
Wenzhou picorna-like virus 14	no
Wenzhou picorna-like virus 15	no
Wenzhou picorna-like virus 16	no
Wenzhou picorna-like virus 17	no
Wenzhou picorna-like virus 18	no
Wenzhou picorna-like virus 19	no
Wenzhou picorna-like virus 2	no
Wenzhou picorna-like virus 20	no
Wenzhou picorna-like virus 21	no
Wenzhou picorna-like virus 22	no
Wenzhou picorna-like virus 23	no
Wenzhou picorna-like virus 24	no
Wenzhou picorna-like virus 25	no
Wenzhou picorna-like virus 26	no
Wenzhou picorna-like virus 27	no
Wenzhou picorna-like virus 28	no
Wenzhou picorna-like virus 29	no
Wenzhou picorna-like virus 3	no
Wenzhou picorna-like virus 31	no
Wenzhou picorna-like virus 32	no
Wenzhou picorna-like virus 33	no
Wenzhou picorna-like virus 35	no
Wenzhou picorna-like virus 36	no
Wenzhou picorna-like virus 37	no
Wenzhou picorna-like virus 39	no
Wenzhou picorna-like virus 4	no
Wenzhou picorna-like virus 40	no
Wenzhou picorna-like virus 41	no
Wenzhou picorna-like virus 42	no
Wenzhou picorna-like virus 43	no
Wenzhou picorna-like virus 44	no
Wenzhou picorna-like virus 45	no
Wenzhou picorna-like virus 46	no
Wenzhou picorna-like virus 47	no
Wenzhou picorna-like virus 48	no
Wenzhou picorna-like virus 49	no
Wenzhou picorna-like virus 5	no
Wenzhou picorna-like virus 51	no
Wenzhou picorna-like virus 52	no
Wenzhou picorna-like virus 53	no
Wenzhou picorna-like virus 54	no
Wenzhou picorna-like virus 6	no
Wenzhou picorna-like virus 7	no
Wenzhou picorna-like virus 9	no
Wenzhou shrimp virus 10	no
Wenzhou shrimp virus 3	no
Wenzhou shrimp virus 4	no
Wenzhou shrimp virus 5	no
Wenzhou shrimp virus 6	no
Wenzhou shrimp virus 7	no
Wenzhou shrimp virus 8	no
Wenzhou sobemo-like virus 1	no
Wenzhou sobemo-like virus 2	no
Wenzhou sobemo-like virus 3	no
Wenzhou sobemo-like virus 4	no
Wenzhou tombus-like virus 1	no
Wenzhou tombus-like virus 10	no
Wenzhou tombus-like virus 11	no
Wenzhou tombus-like virus 12	no
Wenzhou tombus-like virus 14	no
Wenzhou tombus-like virus 15	no
Wenzhou tombus-like virus 16	no
Wenzhou tombus-like virus 17	no
Wenzhou tombus-like virus 18	no
Wenzhou tombus-like virus 2	no
Wenzhou tombus-like virus 3	no
Wenzhou tombus-like virus 4	no
Wenzhou tombus-like virus 5	no
Wenzhou tombus-like virus 6	no
Wenzhou tombus-like virus 7	no
Wenzhou tombus-like virus 8	no
Wenzhou tombus-like virus 9	no
Wenzhou toti-like virus 1	no
Wenzhou weivirus-like virus 1	no
Wenzhou yanvirus-like virus 1	no
Wenzhou yanvirus-like virus 2	no
Wuchan romanomermis nematode virus 1	no
Wuchang cockroach Virus 4	no
Wuhan arthropod virus 1	no
Wuhan arthropod virus 2	no
Wuhan arthropod virus 3	no
Wuhan coneheads virus 1	no
Wuhan coneheads virus 2	no
Wuhan fly virus 4	no
Wuhan heteroptera virus 1	no
Wuhan horsefly Virus 3	no
Wuhan house centipede virus 1	no
Wuhan house centipede virus 2	no
Wuhan house centipede virus 3	no
Wuhan house centipede virus 9	no
Wuhan insect virus 10	no
Wuhan insect virus 11	no
Wuhan insect virus 12	no
Wuhan insect virus 13	no
Wuhan insect virus 17	no
Wuhan insect virus 18	no
Wuhan insect virus 19	no
Wuhan insect virus 20	no
Wuhan insect virus 26	no
Wuhan insect virus 27	no
Wuhan insect virus 28	no
Wuhan insect virus 31	no
Wuhan insect virus 33	no
Wuhan insect virus 34	no
Wuhan insect virus 8	no
Wuhan insect virus 9	no
Wuhan millipede virus 3	no
Wuhan nido-like virus 1	no
Wuhan pillworm virus 2	no
Wuhan poty-like virus 1	no
Wuhan spider virus 2	no
Wuhan spider virus 3	no
Wuhan spider virus 4	no
Wuhan spider virus 5	no
Wuhan spider virus 6	no
Wuhan spider virus 7	no
Wuhan spider virus 8	no
Wuhan spider virus 9	no
Wuhan spirurian nematodes virus 1	no
Xingshan nematode virus 1	no
Xingshan nematode virus 2	no
Xingshan nematode virus 6	no
Xinzhou dimarhabdovirus virus 1	no
Xinzhou nematode virus 1	no
Xinzhou nematode virus 2	no
Xinzhou nematode virus 7	no
Zhejiang mosquito virus 1	no
Zhejiang mosquito virus 3	no
narna-like virus 6	no
Ubei picorna-like virus 3	no
Kayvirus JD7	no
Kayvirus SA12	no
Kayvirus P108	no
Kayvirus G15	no
Kayvirus MCE2014	no
Kayvirus S253	no
Betapolyomavirus lepweddellii	no
Vernonia crinkle betasatellite	no
Nankokuvirus Ab03	no
Nankokuvirus KPP10	no
Nankokuvirus PAKP3	no
Tobacco virtovirus 1	no
Desmodus rotundus parvovirus	no
Pseudomonas phage vB_PaeS_PcyII-40_PfII40a	no
Livupivirus A	no
Bivalve RNA virus G1	no
Bivalve RNA virus G5	no
Bivalve RNA virus G3	no
Bivalve RNA virus G2	no
Bivalve RNA virus G4	no
Bivalve hepelivirus G	no
Mycobacterium phage Petruchio	no
Mycobacterium phage Blue	no
Pseudomonas phage vB_PaeS_PAO1_HW12	no
Swagivirus HG	no
Enterovirus AN12	no
Bermuda grass latent virus	no
Chicken stool-associated circular virus	no
Basavirus sp.	no
Rasavirus sp.	no
Husavirus sp.	no
Posavirus sp.	no
Tai Forest alphavirus	no
Adelphocoris suturalis virus	no
Nesidiocoris tenuis virus	no
Pea leaf distortion betasatellite	no
Biomphalaria virus 1	no
Biomphalaria virus 2	no
Biomphalaria virus 3	no
Chicken associated smacovirus	no
Aeropyrum globular virus 1	no
Pacmanvirus A23	no
Dyotaupapillomavirus 1	no
Dyoupsilonpapillomavirus 1	no
Cafeteriavirus-dependent mavirus	no
Mimivirus-dependent virus Zamilon	no
Mimivirus-dependent virus Sputnik	no
Frijoles phlebovirus	no
Mycobacterium phage SimranZ1	no
Lederbergvirus BTP1	no
Trichoderma atroviride mycovirus	no
Helicoverpa armigera iflavirus	no
Jingmen tombus-like virus 2	no
Roseolovirus muridbeta3	no
Thrips-associated genomovirus 2	no
Alphamesonivirus 5	no
Alphamesonivirus 3	no
Alphamesonivirus 4	no
Guelphvirus ACGM12	no
Tequintavirus shivani	no
Alphatrevirus WA45	no
Alphatrevirus NC35	no
Alphatrevirus ID21	no
Alphatrevirus NC28	no
Alphatrevirus NC29	no
Alphatrevirus ID32	no
Alphatrevirus ID62	no
Alphatrevirus alpha3	no
Ash gourd yellow vein mosaic alphasatellite	no
Euphorbia yellow mosaic alphasatellite	no
Dhillonvirus HK578	no
Dhillonvirus EP23	no
Dhillonvirus SO1	no
Cordoba virus	no
Big Cypress virus	no
Biratnagar virus	no
Fort Crockett virus	no
San Bernardo virus	no
Noumeavirus	no
Bat sapelovirus	no
Bat iflavirus	no
Bat dicibavirus	no
Bat badicivirus 1	no
Bat badicivirus 2	no
Mycobacterium phage SassyB	no
Cassava satellite virus	no
Reed chlorotic stripe virus	no
Molossus molossus circovirus 1	no
Molossus molossus circovirus 2	no
Molossus molossus circovirus 3	no
Molossus molossus circovirus 4	no
Molossus molossus papillomavirus 1	no
Bat sapovirus	no
Hom-1 vesivirus	no
Picobirnavirus green monkey/KNA/2015	no
Picobirnavirus dog/KNA/2015	no
Qinghai Himalayan marmot astrovirus 1	no
Qinghai Himalayan marmot astrovirus 2	no
Gammapapillomavirus 21	no
Gammapapillomavirus 22	no
Gammapapillomavirus 23	no
Gammapapillomavirus 24	no
Gammapapillomavirus 25	no
Gammapapillomavirus 26	no
Mupapillomavirus 3	no
Xipapillomavirus 3	no
Rhopapillomavirus 2	no
Taupapillomavirus 3	no
Dyokappapapillomavirus 2	no
Simian mastadenovirus B	no
Simian mastadenovirus C	no
Turkey aviadenovirus C	no
Turkey aviadenovirus D	no
Menghai flavivirus	no
African eggplant yellowing virus	no
Sunflower ring blotch virus	no
Parechovirus E	no
Circovirus sp.	no
Coronavirus AcCoV-JC34	no
Fathead minnow nidovirus 1	no
Coronavirus HKU15	no
Hedgehog coronavirus 1	no
Sugar beet cyst nematode virus 1	no
Pityohyphantes rubrofasciatus iflavirus	no
Lagenaria siceraria endornavirus-Hubei	no
Pepper vein yellows virus 5	no
Escherichia phage phiEC1	no
Escherichia virus CF2	no
Felixounavirus EC6	no
Felixounavirus AYO145A	no
Felixounavirus JH2	no
Felixounavirus mushroom	no
Felixounavirus VpaE1	no
Felixounavirus UAB87	no
Kolesnikvirus Ea214	no
Felixounavirus wV8	no
Tsukubavirus OP2	no
Castlerea virus	no
Karumba virus	no
Mac Peak virus	no
Merida-like virus KE-2017a	no
Mycobacterium phage Kingsley	no
Tobacco albetovirus 2	no
Tobacco albetovirus 3	no
Vesiculovirus morreton	no
Vesiculovirus radi	no
Vesiculovirus bogdanovac	no
Vesiculovirus jurona	no
Vesiculovirus perinet	no
Vesiculovirus malpais	no
Vesiculovirus carajas	no
Vesiculovirus cocal	no
Vesiculovirus isfahan	no
Vesiculovirus maraba	no
Vesiculovirus piry	no
Vesiculovirus chandipura	no
Vesiculovirus indiana	no
Vesiculovirus newjersey	no
Vesiculovirus alagoas	no
Tupavirus tupaia	no
Tupavirus durham	no
Tibrovirus tibrogargan	no
Tibrovirus coastal	no
Ephemerovirus kotonkan	no
Tupavirus klamath	no
Ephemerovirus adelaide	no
Ephemerovirus obodhiang	no
Ephemerovirus febris	no
Ephemerovirus berrimah	no
Ephemerovirus kimberley	no
Ephemerovirus koolpinyah	no
Ephemerovirus yata	no
Hapavirus flanders	no
Hapavirus graylodge	no
Hapavirus hartpark	no
Hapavirus joinjakaka	no
Hapavirus kamese	no
Hapavirus lajoya	no
Hapavirus landjia	no
Hapavirus manitoba	no
Hapavirus marco	no
Hapavirus mosqueiro	no
Hapavirus mossuril	no
Hapavirus ngaingan	no
Hapavirus ord	no
Hapavirus parry	no
Hapavirus wongabel	no
Cytorhabdovirus colocasiae	no
Cytorhabdovirus medicagonis	no
Almendravirus arboretum	no
Almendravirus balsa	no
Almendravirus cootbay	no
Almendravirus almendras	no
Almendravirus chico	no
Diamondback moth iflavirus	no
Arracacha virus V	no
Gomphocarpus mosaic virus	no
Tobacco virus 2	no
Crustavirus wenzhouense	no
Fibrovirus VGJ	no
Habenivirus RSM1	no
Habenivirus RSM3	no
Habenivirus RS603	no
Lineavirus IKe	no
Saetivirus fs2	no
Saetivirus VFJ	no
Cassava virus X	no
Inovirus M13	no
Vespertiliovirus C74	no
Vespertiliovirus R8A2B	no
Infulavirus If1	no
Bifilivirus B5	no
Watermelon virus A	no
Ledantevirus nkolbisson	no
Ledantevirus barur	no
Ledantevirus fukuoka	no
Ledantevirus nishimuro	no
Ledantevirus kern	no
Ledantevirus keuraliba	no
Ledantevirus yongjia	no
Ledantevirus ledantec	no
Ledantevirus wuhan	no
Ledantevirus elgon	no
Ledantevirus kumasi	no
Ledantevirus oita	no
Ledantevirus fikirini	no
Ledantevirus kolente	no
Hoya chlorotic spot virus	no
Hemipteran ambidensovirus 2	no
Sophora alopecuroides yellow stunt alphasatellite 1a	no
Sophora alopecuroides yellow stunt alphasatellite 4	no
Sophora alopecuroides yellow stunt alphasatellite 7a	no
Orthohantavirus asikkalaense	no
Orthohantavirus nigrorivense	no
Betapolyomavirus canis	no
Novirhabdovirus hirame	no
Novirhabdovirus piscine	no
Novirhabdovirus salmonid	no
Novirhabdovirus snakehead	no
Mieseafarmvirus RSL1	no
Chiangmaivirus RSL2	no
Chiangmaivirus RSF1	no
Sepunavirus SEP1	no
Sepunavirus IPLAC1C	no
Yokohamavirus MSW3	no
Yokohamavirus PEi21	no
Muvirus SfMu	no
Myohalovirus phiH	no
Emdodecavirus M7	no
Emdodecavirus M12	no
Emdodecavirus N3	no
Marthavirus brent	no
Marthavirus jawnski	no
Marthavirus martha	no
Drulisvirus Kp2	no
Drulisvirus KpV41	no
Drulisvirus KpV71	no
Drulisvirus KpV475	no
Krischvirus jse	no
Certrevirus PBES02	no
Certrevirus phiTE	no
Kayvirus rodi	no
Kayvirus S254	no
Fletchervirus CP30A	no
Cequinquevirus Ldb	no
Cequinquevirus Ld3	no
Cequinquevirus Ld17	no
Cequinquevirus Ld25A	no
Dhillonvirus YD2008s	no
Dhillonvirus EK99P1	no
Jerseyvirus f18SE	no
Webervirus KLPN1	no
Webervirus PKP126	no
Webervirus sushi	no
Pseudomonas virus LKO4	no
Pseudomonas virus PAE1	no
Pseudomonas virus MP1412	no
Traversvirus tv24B	no
Traversvirus tv933W	no
Traversvirus min27	no
Traversvirus PA28	no
Traversvirus II	no
Diegovirus dv7502Stx	no
Diegovirus POCJ13	no
Oslovirus ov191	no
Oslovirus PA2	no
Oslovirus TL2011	no
Oslovirus VASD	no
Salmovirus WFRC1	no
Ghunavirus WRT	no
Ghunavirus KNP	no
Korravirus bennie	no
Korravirus drrobert	no
Korravirus glenn	no
Korravirus hunterdalle	no
Korravirus joann	no
Korravirus korra	no
Korravirus preamble	no
Korravirus pumancara	no
Korravirus wayne	no
Laroyevirus laroye	no
Mudcatvirus circum	no
Mudcatvirus mudcat	no
Marvinvirus marvin	no
Marvinvirus mosmoris	no
Pseudomonas virus Ab18	no
Pseudomonas virus Ab19	no
Pseudomonas virus PaMx11	no
Amigovirus amigo	no
Bernalvirus bernal13	no
Decurrovirus decurro	no
Demosthenesvirus demosthenes	no
Demosthenesvirus katyusha	no
Eiauvirus eiAU	no
Gaiavirus gaia	no
Gilesvirus giles	no
Gordonvirus captnmurica	no
Gordonvirus gordon	no
Gordtnkvirus gordtnk2	no
Harrisonvirus harrison	no
Jenstvirus jenst	no
Steinhofvirus sv8324	no
Steinhofvirus JWX	no
Kelleziovirus kellezzio	no
Kelleziovirus kitkat	no
Nipunavirus NP1	no
Nipunavirus PaMx25	no
Incheonvirus P12002L	no
Incheonvirus P12002S	no
Inhavirus P12024L	no
Inhavirus P12024S	no
Pahexavirus ATCC29399BC	no
Pahexavirus ATCC29399BT	no
Pahexavirus attacne	no
Pahexavirus keiki	no
Pahexavirus kubed	no
Pahexavirus lauchelly	no
Pahexavirus mrAK	no
Pahexavirus ouroboros	no
Pahexavirus P91	no
Pahexavirus P105	no
Pahexavirus P144	no
Pahexavirus P1001	no
Pahexavirus P11	no
Pahexavirus P100A	no
Pahexavirus P100D	no
Pahexavirus P101A	no
Pahexavirus P104A	no
Pahexavirus PA6	no
Pahexavirus pacnes201215	no
Pahexavirus PAD20	no
Pahexavirus PAS50	no
Pahexavirus PHL009M11	no
Pahexavirus PHL025M00	no
Pahexavirus PHL037M02	no
Pahexavirus PHL041M10	no
Pahexavirus PHL060L00	no
Pahexavirus PHL067M01	no
Pahexavirus PHL070N00	no
Pahexavirus PHL071N05	no
Pahexavirus PHL082M03	no
Pahexavirus PHL092M00	no
Pahexavirus PHL095N00	no
Pahexavirus PHL111M01	no
Pahexavirus PHL112N00	no
Pahexavirus PHL113M01	no
Pahexavirus PHL114L00	no
Pahexavirus PHL116M00	no
Pahexavirus PHL117M00	no
Pahexavirus PHL117M01	no
Pahexavirus PHL132N00	no
Pahexavirus PHL141N00	no
Pahexavirus PHL151M00	no
Pahexavirus PHL151N00	no
Pahexavirus PHL152M00	no
Pahexavirus PHL163M00	no
Pahexavirus PHL171M01	no
Pahexavirus PHL179M00	no
Pahexavirus PHL194M00	no
Pahexavirus PHL199M00	no
Pahexavirus PHL301M00	no
Pahexavirus PHL308M00	no
Pahexavirus pirate	no
Pahexavirus procrass1	no
Pahexavirus SKKY	no
Pahexavirus solid	no
Pahexavirus stormborn	no
Pahexavirus wizzo	no
Pamexvirus PaMx28	no
Pamexvirus PaMx74	no
Patiencevirus patience	no
Barnyardvirus barnyard	no
Konstantinevirus konstantine	no
Predatorvirus predator	no
Pepyhexavirus pepy6	no
Pepyhexavirus poco6	no
Roufvirus pIS4A	no
Xiamenvirus RDJL1	no
Xiamenvirus RDJL2	no
Rerduovirus RER2	no
Saphexavirus BC611	no
Saphexavirus IMEEF1	no
Saphexavirus SAP6	no
Saphexavirus VD13	no
Saphexavirus SPQS1	no
Papyrusvirus papyrus	no
Papyrusvirus send513	no
Smoothievirus bachita	no
Smoothievirus clubL	no
Oneupvirus oneup	no
Smoothievirus smoothie	no
Soupsvirus soups	no
Tequintavirus slur09	no
Epseptimavirus 118970sal2	no
Tankvirus tank	no
Tinduovirus TIN2	no
Tinduovirus TIN3	no
Titanvirus rcspartan	no
Titanvirus rctitan	no
Johnsonvirus Ea92	no
Johnsonvirus frozen	no
Uetakevirus phiV10	no
Uetakevirus epsilon15	no
Uetakevirus SPN1S	no
Cepunavirus Cp1	no
Cepunavirus Cp7	no
Kafunavirus KF1	no
Kochitakasuvirus KPP25	no
Kochitakasuvirus R18	no
Luzseptimavirus KPP21	no
Luzseptimavirus LUZ7	no
Bellflower veinal mottle virus	no
Woodruffvirus TP1604	no
Woodruffvirus YDN12	no
Montyvirus monty	no
Woesvirus woes	no
Camvirus amela	no
Camvirus CAM	no
Likavirus aaronocolus	no
Likavirus caliburn	no
Likavirus danzina	no
Likavirus hydra	no
Likavirus izzy	no
Likavirus lannister	no
Likavirus lika	no
Likavirus sujidade	no
Likavirus zemlya	no
Arequatrovirus ELB20	no
Arequatrovirus R4	no
Hautrevirus hau3	no
Acadianvirus acadian	no
Acadianvirus baee	no
Acadianvirus reprobate	no
Rosebushvirus godines	no
Pipefishvirus bernardo	no
Pipefishvirus athena	no
Pipefishvirus gadjet	no
Pipefishvirus pipefish	no
Pegunavirus apizium	no
Pegunavirus soto	no
Pegunavirus manad	no
Coopervirus adawi	no
Coopervirus JAMaL	no
Coopervirus brownCNA	no
Coopervirus bane1	no
Coopervirus vincenzo	no
Coopervirus chrisnmich	no
Coopervirus cooper	no
Coopervirus nigel	no
Coopervirus stinger	no
Coopervirus zemanar	no
Picorna-like virus AWando15	no
Sulfolobus islandicus rod-shaped virus 7	no
Lake Sinai Virus NE	no
Lake Sinai Virus SA1	no
Lake Sinai Virus SA2	no
Lake Sinai Virus TO	no
Apis dicistrovirus	no
Apis flavivirus	no
Mycobacterium phage Pippy	no
Bignuzvirus bignuz	no
Fishburnevirus brusacoram	no
Fishburnevirus donovan	no
Fishburnevirus fishburne	no
Fishburnevirus jebeks	no
Fishburnevirus malithi	no
Phayoncevirus phayonce	no
Bongovirus bongo	no
Reyvirus rey	no
Gemycircularvirus sp.	no
Abouovirus abouo	no
Abouovirus davies	no
Agricanvirus deimos	no
Agricanvirus Ea3570	no
Agricanvirus ray	no
Agricanvirus simmy50	no
Agricanvirus specialG	no
Klausavirus ArV1	no
Klausavirus princesstrina	no
Bequatrovirus avesobmore	no
Elvirus EL	no
Jimmervirus jimmer	no
Jimmervirus osiris	no
Seoulvirus SPN3US	no
Perisivirus Pr	no
Perisivirus Tb	no
